title,item_code,division_id,vendor_id,status,mrp,barcode,brand,created_at,updated_at,category_id,section_id,,
BAGRRY''S WHITE OATS JAR 500G,BM47443,FMCG FOOD,Sumeru Trade com,Non Extinct,225,8.90271E+12,,6/20/2017 10:56,6/20/2017 10:56,,BREAKFAST CEREALS,,
TWIX TWIN 50GM,BM59489,FMCG FOOD,United Distributors(NEPAL) pvt.Ltd MSBT,Non Extinct,85,5.00016E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
SAMUDRA TIC TIC COOKIES STRAWBERRY 100GM,BM66954,FMCG FOOD,Sweekar Trading,Non Extinct,125,9.55504E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
HEINZ TOMATO KETCHUP 460G,BM45939,FMCG FOOD,Asian Distributors Pvt. Ltd.,Non Extinct,199,8.90154E+12,,6/20/2017 10:56,6/20/2017 10:56,,KETCHUP/DRESSING,,
SNICKERS 6X50GM,BM59485,FMCG FOOD,United Distributors(NEPAL) pvt.Ltd MSBT,Non Extinct,385,5.00016E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
SAMUDRA TIC TIC COOKIES HAZELNUT 80GM,BM66955,FMCG FOOD,Sweekar Trading,Non Extinct,125,9.55504E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
GOLDENTIPS STRAWBERRY TEA 50GM 25 BAG,BM67144,FMCG FOOD,Food Line Pvt.Ltd,Non Extinct,190,8.90121E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
TIFFANY ACTIVE DIGESTIVE 400GM+30% XTRA,BM65821,FMCG FOOD,KAP Traders Pvt. Ltd . TIFFANY,Non Extinct,230,6.291E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SG GRANDIES SUGAR CRACKER 350GM,BM66958,FMCG FOOD,Sama International Pvt. Ltd,Non Extinct,250,9.55539E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SG GRANDIES ORIGINAL CRACKER 350GM (NO ADDED SUGAR),BM66959,FMCG FOOD,Sama International Pvt. Ltd,Non Extinct,250,9.55539E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SG GRANDIES SPECIAL CRACKER 350GM(NO ADDED SUGAR),BM66960,FMCG FOOD,Sama International Pvt. Ltd,Non Extinct,250,9.55539E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SG GRANDIES CORN CRACKER 350GM,BM66961,FMCG FOOD,Sama International Pvt. Ltd,Non Extinct,250,9.55539E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SG GRANDIES CORN CRACKER 150GM,BM66962,FMCG FOOD,Sama International Pvt. Ltd,Non Extinct,125,9.55539E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
