ICODE,ITEM_EXTINCT
BM45095,Non Extinct
BM55131,Non Extinct
BM47245,Non Extinct
BM2722,Non Extinct
BM35177,Non Extinct
BM2922,Non Extinct
BM2906,Non Extinct
BM50428,Non Extinct
BM51300,Extinct
BM46865,Non Extinct
BM47246,Non Extinct
BM42588,Non Extinct
BM42398,Non Extinct
BM66196,Non Extinct
BM47577,Non Extinct
BM27725,Non Extinct
BM55196,Non Extinct
BM64010,Non Extinct
BM59122,Non Extinct
BM67213,Non Extinct
BM45017,Non Extinct
BM54828,Non Extinct
BM59107,Non Extinct
BM54798,Extinct
BM68709,Non Extinct
BM68708,Non Extinct
BM68632,Non Extinct
BM68631,Non Extinct
BM3571,Extinct
BM50615,Non Extinct
BM47574,Non Extinct
BM47572,Non Extinct
BM60648,Non Extinct
BM55071,Non Extinct
BM50918,Non Extinct
BM68699,Non Extinct
BM45954,Non Extinct
BM68698,Non Extinct
BM65202,Non Extinct
BM54944,Non Extinct
BM16829,Non Extinct
BM48166,Non Extinct
BM48167,Non Extinct
BM50926,Non Extinct
BM60001,Non Extinct
BM47276,Non Extinct
BM51457,Non Extinct
BM41657,Non Extinct
BM50923,Extinct
BM50908,Extinct
BM51903,Non Extinct
BM44570,Non Extinct
BM46724,Extinct
BM47267,Non Extinct
BM47271,Non Extinct
BM51991,Non Extinct
BM66640,Non Extinct
BM53745,Non Extinct
BM53748,Extinct
BM66709,Non Extinct
BM47561,Non Extinct
BM66478,Non Extinct
BM46964,Non Extinct
BM55403,Non Extinct
BM52201,Extinct
BM46763,Non Extinct
BM46975,Non Extinct
BM47130,Non Extinct
BM55406,Non Extinct
BM55407,Non Extinct
BM4472,Non Extinct
BM4475,Non Extinct
BM4478,Non Extinct
BM16014,Non Extinct
BM48788,Non Extinct
BM48775,Extinct
BM41659,Non Extinct
BM48025,Non Extinct
BM60706,Non Extinct
BM62647,Non Extinct
BM67871,Non Extinct
BM60899,Non Extinct
BM54704,Non Extinct
BM68067,Non Extinct
BM68315,Non Extinct
BM65717,Non Extinct
BM1901,Non Extinct
BM1904,Non Extinct
BM53163,Non Extinct
BM53877,Non Extinct
BM62879,Non Extinct
BM1063,Non Extinct
BM3579,Extinct
BM53679,Extinct
BM54799,Extinct
BM54820,Extinct
BM43218,Non Extinct
BM67142,Non Extinct
BM67141,Non Extinct
