ITEM_NAME,ICODE,BARCODE,DEPARTMENT,CAT5(MOQ),DIVISION,SECTION,ITEM_EXTINCT
FARSI MUNTA VEGETABLES   1 ,BM8998,1090,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MUSHROOM(D) VEGETABLES   1 ,BM20097,7075,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
BARELA VEGETABLES   2 ,BM59150,2222,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
HG ORGANIC CHILLI RED&GREEN 200G HIMALAYAN GARDEN   1 ,BM54228,8193,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
FLATE BEANS VEGETABLES   3 ,BM8924,1016,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ONION RED/NEPALI VEGETABLES   1 ,BM8911,1003,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SWEET CORN VEGETABLES   1 ,BM8982,1074,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SPINACH/INDIAN LEAFY VEG   1 ,BM8985,1077,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SHIITAKE MUSHROOM SHIITAKE   1 ,BM8966,1058,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
MUDEKO ALOO VEGETABLES   1 ,BM58963,2000,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
DRUMSTICKS VEGETABLES   1 ,BM8970,1062,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KUBHINDO    1 ,BM8971,1063,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
CABBAGE CHINESE FRUITS   2 ,BM8974,1066,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Extinct
LEMON GRASS GREEN FRUITS   1 ,BM8975,1067,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
RAJMA NEPALI VEGETABLES   2 ,BM8934,1026,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Extinct
PURPLE CABBAGE FRUITS   0 ,BM8951,1043,FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
GREEN PUMKIN (D) FRUITS   1 ,BM22020,7118,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ORGANIC CHINA CABBAGE ORGANIC   1 ,BM22171,2135,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
NEURO SAAG VEGETABLES   1 ,BM12074,1118,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
LONG BEANS VEGETABLES   2 ,BM8948,1040,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
GHIRAUNLA FRUITS   2 ,BM8955,1047,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
KARELA(D) VEGETABLES   1 ,BM20089,7067,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
ONION SPRING(D) FRUITS   1 ,BM20132,7110,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
KURILO(D) FRUITS   1 ,BM20106,7084,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
