Our list of product,,,,,,,,,,,oracele ko list,,
S.no,Product Name,Item Code,Barcode,asdasd,MOQ,Division,Department,Status,,,ITEM_NAME,ICODE,BARCODE
86,TORUL BIG VEGETABLES 5,BM26625,1210,#N/A,5,FRESH,LONG FRESH VEG,Active,,,MAUSAM INDIA FRUITS   5 ,BM9058,2051
87,I.L.D GRAPES GREEN I.L.D 1,BM68242,129,139,1,FRESH,SOFT FRUITS,Active,,,SWEET MELON FRUITS   10 ,BM9078,2071
88,I.L.D APPLE CHINA 2002 I.L.D 1,BM64651,13,94,1,FRESH,LONG FRUITS,Active,,,KIWI AUSTRALIA(D) FRUITS   1 ,BM20167,8034
89,I.L.D APPLE CHOCOLATE 2004 I.L.D 1,BM64652,14,93,1,FRESH,LONG FRUITS,Active,,,ORANGE NAVELS FRUITS   5 ,BM29984,2145
90,I.L.D MANGO MALDA 2056,BM66199,147,97,1,FRESH,LONG FRUITS,Active,,,PINEAPPLE INDIA FRUITS   1 ,BM9036,2029
91,POTATO BHUTANI VEG 1,BM66617,15987,#N/A,1,FRESH,FRESH VEG,Active,,,I.L.D MANDARIN,BM67637,69
92,MUDEKO ALOO VEGETABLES 1,BM58963,2000,59,1,FRESH,FRESH VEG,Active,,,I.L.D. ORANGE I.L.D   0 ,BM67488,95
93,APPLE SHIMLA FRUITS 10,BM9008,2001,107,10,FRESH,LONG FRUITS,Active,,,I.L.D APPLE CHOCOLATE 2004 I.L.D   1 ,BM64652,14
94,APPLE CHINA FRUITS 10,BM9009,2002,126,10,FRESH,LONG FRUITS,Active,,,I.L.D APPLE CHINA 2002 I.L.D   1 ,BM64651,13
95,APPLE RED THAILAND FRUITS 0,BM9010,2003,#N/A,0,FRESH,LONG FRUITS,Inactive,,,I.L.D. MANGO BEGAMFELLI,BM68419,4455
96,APPLE CHOCOLATE FRUITS 10,BM9011,2004,84,10,FRESH,LONG FRUITS,Active,,,PINEAPPLE 2032 FRUITS   1 ,BM9039,2032
